Year;Month;Day;Hour;Minute;Temperature
2020;01;16;00;00;3.06
2020;01;16;01;00;3.83
2020;01;16;02;00;4.16
2020;01;16;03;00;4.36
2020;01;16;04;00;4.72
2020;01;16;05;00;4.90
2020;01;16;06;00;4.96
2020;01;16;07;00;5.85
2020;01;16;08;00;6.17
2020;01;16;09;00;6.66
2020;01;16;10;00;6.42
2020;01;16;11;00;5.94
2020;01;16;12;00;5.40
2020;01;16;13;00;5.61
2020;01;16;14;00;4.88
2020;01;16;15;00;4.09
2020;01;16;16;00;3.25
2020;01;16;17;00;2.08
2020;01;16;18;00;0.82
2020;01;16;19;00;-0.53
2020;01;16;20;00;-2.86
2020;01;16;21;00;-4.30
2020;01;16;22;00;-5.62
2020;01;16;23;00;-6.67
2020;01;17;00;00;-7.55
2020;01;17;01;00;-8.13
2020;01;17;02;00;-8.53
2020;01;17;03;00;-9.13
2020;01;17;04;00;-10.10
2020;01;17;05;00;-10.99
2020;01;17;06;00;-11.56
2020;01;17;07;00;-10.22
2020;01;17;08;00;-10.43
2020;01;17;09;00;-9.72
2020;01;17;10;00;-8.53
2020;01;17;11;00;-7.37
2020;01;17;12;00;-6.30
2020;01;17;13;00;-5.50
2020;01;17;14;00;-4.99
2020;01;17;15;00;-5.00
2020;01;17;16;00;-5.60
2020;01;17;17;00;-6.71
2020;01;17;18;00;-7.23
2020;01;17;19;00;-7.75
2020;01;17;20;00;-8.29
2020;01;17;21;00;-8.77
2020;01;17;22;00;-9.23
2020;01;17;23;00;-9.65
2020;01;18;00;00;-10.11
2020;01;18;01;00;-10.44
2020;01;18;02;00;-10.41
2020;01;18;03;00;-9.76
2020;01;18;04;00;-9.25
2020;01;18;05;00;-8.86
2020;01;18;06;00;-8.50
2020;01;18;07;00;-6.21
2020;01;18;08;00;-5.59
2020;01;18;09;00;-4.85
2020;01;18;10;00;-3.90
2020;01;18;11;00;-2.98
2020;01;18;12;00;-2.31
2020;01;18;13;00;-2.03
2020;01;18;14;00;-1.75
2020;01;18;15;00;-1.35
2020;01;18;16;00;-2.02
2020;01;18;17;00;-1.28
2020;01;18;18;00;-0.29
2020;01;18;19;00;0.69
2020;01;18;20;00;0.94
2020;01;18;21;00;1.47
2020;01;18;22;00;2.95
2020;01;18;23;00;3.89
2020;01;19;00;00;3.93
2020;01;19;01;00;3.19
2020;01;19;02;00;2.64
2020;01;19;03;00;2.01
2020;01;19;04;00;1.60
2020;01;19;05;00;1.54
2020;01;19;06;00;1.13
2020;01;19;07;00;-0.77
