old_env,new_env,old_house,new_house
3.06,3.83,1.7492855684535902,1.4424681734951414
3.83,4.16,1.4424681734951414,1.648493805419013
4.16,4.36,1.648493805419013,1.6466651737924705
4.36,4.72,1.6466651737924705,1.7530929314236394
4.72,4.9,1.7530929314236394,1.7739523862202056
4.9,4.96,1.7739523862202056,1.7849503112915481
4.96,5.85,1.7849503112915481,2.016196837788526
5.85,6.17,2.016196837788526,2.0380881144375174
6.17,6.66,2.0380881144375174,2.1498632248500096
6.66,6.42,2.1498632248500096,2.066430926779308
6.42,5.94,2.066430926779308,1.9681384791778989
5.94,5.4,1.9681384791778989,1.8525284129594617
5.4,5.61,1.8525284129594617,1.9384198686147793
5.61,4.88,1.9384198686147793,1.7151035337218627
4.88,4.09,1.7151035337218627,1.541069909601163
4.09,3.25,1.541069909601163,1.3072605288919408
3.25,2.08,1.3072605288919408,0.879056011359947
2.08,0.82,0.879056011359947,-0.24301442623833486
0.82,-0.53,-0.24301442623833486,-0.5357103450202032
-0.53,-2.86,-0.5357103450202032,-1.524562119095118
-2.86,-4.3,-1.524562119095118,-1.6659645497143334
-4.3,-5.62,-1.6659645497143334,-1.9884756599681241
-5.62,-6.67,-1.9884756599681241,-2.1636830498092543
-6.67,-7.55,-2.1636830498092543,-2.320844016772938
-7.55,-8.13,-2.320844016772938,-2.410219073699954
-8.13,-8.53,-2.410219073699954,-2.473819097327055
-8.53,-9.13,-2.473819097327055,-2.579957538928295
-9.13,-10.1,-2.579957538928295,-2.742269582129318
-10.1,-10.99,-2.742269582129318,-2.87188621255625
-10.99,-11.56,-2.87188621255625,-2.9475606503418637
-11.56,-10.22,-2.9475606503418637,-2.6967460669588705
-10.22,-10.43,-2.6967460669588705,-2.780872872506244
-10.43,-9.72,-2.780872872506244,-2.6342223003182093
-9.72,-8.53,-2.6342223003182093,-2.428122257976684
-8.53,-7.37,-2.428122257976684,-2.22303345499417
-7.37,-6.3,-2.22303345499417,-2.019149956047304
-6.3,-5.5,-2.019149956047304,-1.865703632400574
-5.5,-4.99,-1.865703632400574,-1.7675679244655427
-4.99,-5,-1.7675679244655427,-1.7978965697543496
-5,-5.6,-1.7978965697543496,-1.9498983127962468
-5.6,-6.71,-1.9498983127962468,-2.1817657269293953
-6.71,-7.23,-2.1817657269293953,-2.24682760199144
-7.23,-7.75,-2.24682760199144,-2.3458841399371284
-7.75,-8.29,-2.3458841399371284,-2.438055754092361
-8.29,-8.77,-2.438055754092361,-2.5163354796027573
-8.77,-9.23,-2.5163354796027573,-2.5910740090544
-9.23,-9.65,-2.5910740090544,-2.6568639391104694
-9.65,-10.11,-2.6568639391104694,-2.7300432342528076
-10.11,-10.44,-2.7300432342528076,-2.776680890154141
-10.44,-10.41,-2.776680890154141,-2.762846197283855
-10.41,-9.76,-2.762846197283855,-2.6452133756497123
-9.76,-9.25,-2.6452133756497123,-2.5699779423859437
-9.25,-8.86,-2.5699779423859437,-2.507991638266375
-8.86,-8.5,-2.507991638266375,-2.4478579128972386
-8.5,-6.21,-2.4478579128972386,-1.9396242128574188
